Category 5: converged:100.000000 % ,steinercount: 20
Category 5: converged:100.000000 % ,steinercount: 23
Category 5: converged:100.000000 % ,steinercount: 5
Category 5: converged:33.027523 % ,steinercount: 98
Category 5: converged:36.486486 % ,steinercount: 91
Category 5: converged:38.775510 % ,steinercount: 81
Category 5: converged:43.697479 % ,steinercount: 99
Category 5: converged:43.750000 % ,steinercount: 78
Category 5: converged:48.437500 % ,steinercount: 100
Category 5: converged:49.411765 % ,steinercount: 87
Category 5: converged:50.980392 % ,steinercount: 79
Category 5: converged:54.545455 % ,steinercount: 65
Category 5: converged:54.761905 % ,steinercount: 76
Category 5: converged:58.108108 % ,steinercount: 88
Category 5: converged:72.972973 % ,steinercount: 69
Category 5: converged:73.913043 % ,steinercount: 60
Category 5: converged:75.757576 % ,steinercount: 73
Category 5: converged:80.000000 % ,steinercount: 21
Category 5: converged:91.304348 % ,steinercount: 63
Category 5: converged:95.238095 % ,steinercount: 61
