Category 5: converged:30.252101 % ,steinercount: 30
Category 5: converged:34.693878 % ,steinercount: 15
Category 5: converged:38.095238 % ,steinercount: 5
Category 5: converged:40.625000 % ,steinercount: 30
Category 5: converged:43.243243 % ,steinercount: 30
Category 5: converged:43.478261 % ,steinercount: 10
Category 5: converged:43.478261 % ,steinercount: 10
Category 5: converged:43.750000 % ,steinercount: 19
Category 5: converged:45.098039 % ,steinercount: 20
Category 5: converged:45.454545 % ,steinercount: 10
Category 5: converged:45.454545 % ,steinercount: 13
Category 5: converged:49.411765 % ,steinercount: 30
Category 5: converged:50.000000 % ,steinercount: 4
Category 5: converged:56.756757 % ,steinercount: 19
Category 5: converged:59.523810 % ,steinercount: 22
Category 5: converged:60.000000 % ,steinercount: 3
Category 5: converged:66.666667 % ,steinercount: 3
Category 5: converged:69.230769 % ,steinercount: 8
Category 5: converged:70.000000 % ,steinercount: 5
Category 5: converged:75.000000 % ,steinercount: 3
